Ia,Ib,Ic,Va,Vb,Vc,fault_type,location,A,B,C,G
0.638607783512514,0.620138899676202,0.63106510429572,0.275190382694865,0.308723719420877,0.31236255760225,LLLG,mid_line,1,1,1,1
0.81584238504832,0.747386135467046,0.742461339662307,0.15328465574955,0.231973443061974,0.212644525664912,LLL,near_source,1,1,1,0
0.190531879820313,0.190753879599914,0.190556152767381,1.1311304735618,1.13087836717185,1.13060442598978,NOFAULT,mid_line,0,0,0,0
0.190208949841966,0.190278910076393,0.190243409864122,1.13101541064194,1.13102698498572,1.13153029307516,NOFAULT,near_load,0,0,0,0
0.190146940643918,0.58378371798366,0.426982389777116,1.13126942425346,0.927851528098919,1.27212891064547,LL,near_load,0,1,1,0
0.532240769398965,0.193750162638518,0.580080465757257,0.449371581382969,1.11054471895168,0.59262699283458,LLG,mid_line,1,0,1,1
0.693849107124161,0.178267042327338,0.760343997776885,0.214114134892743,1.10068768180152,0.211549522458645,LLG,near_source,1,0,1,1
0.659152843500948,0.586975115801607,0.188252778501222,0.290004941285308,0.322152372673065,1.10527069495309,LLG,mid_line,1,1,0,1
0.781303949304086,0.166198977991142,0.21333124626284,0.396884370931956,1.10946740873799,1.1196919579531,LG,mid_line,1,0,0,1
0.819916208083288,0.610680705210996,0.632901668269855,0.38747899519497,0.650012093673171,0.675720542538024,LLLG,near_load,1,1,1,1
0.654936096525883,0.161306985454295,0.205500156827924,0.231215703643241,1.10887461778258,1.1212404188899,LG,near_source,1,0,0,1
0.19062203950928,0.190726097186328,0.190631651295572,1.13094755533697,1.13072133179107,1.13065868549617,NOFAULT,mid_line,0,0,0,0
0.587554617193526,0.581423879135595,0.562645442785971,0.33884077077205,0.392577477098225,0.398437156735773,LLL,near_load,1,1,1,0
0.687750585036857,0.62687043330418,0.659933016403342,0.530684310911853,0.494405141776694,0.512964352687796,LLLG,near_source,1,1,1,1
0.700785808624593,0.615202719961679,0.593060191503106,0.341709228222574,0.56703539381282,0.577898502076691,LLL,near_load,1,1,1,0
0.159822110231782,0.223515256691354,0.453633105195041,1.09057056559439,1.14263100402232,0.507062430733461,LG,near_load,0,0,1,1
0.189936449442933,0.190329095688979,0.190117046822814,1.12823292396935,1.12986256915001,1.13074934528776,NOFAULT,near_load,0,0,0,0
0.534654103747622,0.534617827322434,0.534622363580501,0.497102481935299,0.497418171065777,0.497323267109479,LLL,near_load,1,1,1,0
0.603351150711099,0.450653530838104,0.190148447150222,0.620047962496422,0.712275204802253,1.13116348891379,LL,near_load,1,1,0,0
0.190450546138515,0.190509670811951,0.190529953401063,1.13073102416386,1.13080369507808,1.13053898265034,NOFAULT,mid_line,0,0,0,0
0.189939052869866,0.189590154908062,0.189920998973997,1.13512337835482,1.12746098833561,1.12931143243377,NOFAULT,near_load,0,0,0,0
0.1614094754228,0.205446275819375,0.675858491960959,1.10794218088763,1.12141977279168,0.224606382188415,LG,near_source,0,0,1,1
0.190410293739198,0.190373038256936,0.1904279623359,1.13096123872491,1.1308068468905,1.13050410800723,NOFAULT,mid_line,0,0,0,0
0.189744110058588,0.189467429550509,0.189981251802245,1.14149637699837,1.13172300688506,1.13240389384611,NOFAULT,near_load,0,0,0,0
0.620578995481779,0.545482662155805,0.587407353516477,0.375770169227909,0.560446462496574,0.572444684311639,LLL,near_load,1,1,1,0
0.59500743965374,0.563754945751948,0.555113840042741,0.369405556667262,0.506832933657729,0.521471098408163,LLLG,near_load,1,1,1,1
0.607746393711363,0.590981976392851,0.596439518741558,0.311249453065322,0.310767494475985,0.311362954496659,LLLG,near_load,1,1,1,1
0.561327044880086,0.553839281616679,0.537094947133536,0.367681170378151,0.412105876063482,0.417358945959536,LLLG,near_load,1,1,1,1
0.752008752514364,0.752284172561552,0.750871736723039,0.301776361122223,0.314989363671512,0.317140724519226,LLL,near_source,1,1,1,0
0.500502778990689,0.170536618015159,0.213584119304177,0.569870052128231,1.10215252904214,1.13957047027935,LG,mid_line,1,0,0,1
0.781120497220566,0.160074774702298,0.214503745686011,0.357834173304301,1.10391765355432,1.12121639582302,LG,mid_line,1,0,0,1
0.708468102774265,0.191162245169693,0.760647941541646,0.545323796628739,1.10988464510326,0.49013551819507,LLG,mid_line,1,0,1,1
0.795843912940367,0.190231622679903,0.92314465368755,0.593458768178591,1.13117405469556,0.556643323508638,LL,near_source,1,0,1,0
1.17145923435906,0.936813769667035,0.825022078320822,0.141259055488144,0.412049277949769,0.494152706275358,LLL,near_source,1,1,1,0
0.723628471897095,0.689810038425323,0.69718499227046,0.202632599035691,0.203726557245294,0.202889047201275,LLL,mid_line,1,1,1,0
0.19040616430828,0.674155372898964,0.514332147893241,1.13071728707012,0.573618150669128,0.641650125339695,LL,mid_line,0,1,1,0
0.78406070846606,0.75459065883988,0.778263205416676,0.199164471979925,0.193501224554732,0.113618703360604,LLLG,near_source,1,1,1,1
0.897409250459908,0.765948489795728,0.824664440169741,0.110696718322538,0.111630937818341,0.114387854858444,LLL,near_source,1,1,1,0
0.178606302234797,0.728321220754803,0.710574767279572,1.10283570433233,0.185067099608949,0.193112415097137,LLG,near_source,0,1,1,1
0.589971974430172,0.198693427451567,0.668160816168015,0.553061915192135,1.10138263239196,0.460415059914315,LLG,near_load,1,0,1,1
0.524292560263506,0.494723883153163,0.535471948286069,0.515506259202266,0.514417903833531,0.539137274173856,LLLG,near_load,1,1,1,1
0.713104428488245,0.554734296413867,0.190589222223663,0.591208054724868,0.595989003719025,1.13116419981484,LL,mid_line,1,1,0,0
0.189992263797232,0.189804085348372,0.189960295544462,1.13618223596657,1.12711315281486,1.12984784854494,NOFAULT,near_load,0,0,0,0
0.66734996502854,0.557486111109887,0.190153217824311,0.702017053989949,0.777907715391562,1.13134837073941,LL,near_load,1,1,0,0
0.550404823458705,0.190457918160677,0.711049408598699,0.605094139933446,1.1303566916774,0.580261775702844,LL,mid_line,1,0,1,0
0.168466393901442,0.208242861549457,0.586769272173826,1.10543262946664,1.13051820227716,0.536193639438592,LG,near_source,0,0,1,1
0.514962843310973,0.514859354038339,0.514981768103929,0.504712858018117,0.50518193166411,0.505026223380418,LLLG,near_load,1,1,1,1
0.19042560631646,0.190464642516013,0.190494730692598,1.13112586228806,1.13098548683376,1.13111583873873,NOFAULT,mid_line,0,0,0,0
0.739154641668374,0.17115574012003,0.777696712792334,0.122120163853814,1.08798476327625,0.16092990790559,LLG,near_source,1,0,1,1
0.692609832174876,0.713381829329944,0.702711638708836,0.287190420096456,0.303296984484922,0.291983430061853,LLLG,near_source,1,1,1,1
1.06390363557367,0.169977174959084,0.862289051482122,0.448383082944608,1.12884592500954,0.345195479399674,LLG,near_source,1,0,1,1
0.725535292595382,0.161503410182377,0.209571287973632,0.294006375035841,1.10671784840517,1.12519087169264,LG,near_source,1,0,0,1
0.69786207768717,0.507695443494555,0.190144588617075,0.997842186244994,0.476899055190131,1.13098549135486,LL,near_source,1,1,0,0
0.557548885997848,0.553716680565282,0.576010499162653,0.486149171039294,0.490189007742688,0.49937317295248,LLL,mid_line,1,1,1,0
0.676667273600104,0.16516623712731,0.211743389585001,0.431210581732372,1.10409394053038,1.13010949136028,LG,near_source,1,0,0,1
0.19077256458978,0.189718096038056,0.190144293996959,1.12290060427663,1.13353301477863,1.13667034538583,NOFAULT,near_source,0,0,0,0
0.785539928905011,0.70423270298551,0.667472974769626,0.242227864188033,0.314550091088051,0.328917619388515,LLLG,mid_line,1,1,1,1
0.730624638321793,0.734521269687198,0.712945443204351,0.15604250443414,0.158345066870437,0.159881628378385,LLL,near_source,1,1,1,0
0.449119279357551,0.159010966680387,0.225807140560755,0.534503668788741,1.08677684582358,1.14301601442211,LG,near_load,1,0,0,1
0.161197822058579,0.209844794310167,0.600233079855858,1.10536682658088,1.12479527668632,0.293879380817413,LG,near_source,0,0,1,1
0.632639738007504,0.645627922823589,0.638884234300405,0.244720182779359,0.246139972839245,0.245236491912319,LLLG,mid_line,1,1,1,1
0.565910036265098,0.415832581614126,0.190163142854675,0.639303655036911,0.731562908970118,1.1311963704861,LL,near_load,1,1,0,0
0.161745675222796,0.198943606156152,0.746413186497952,1.11475968934475,1.11341206446074,0.15764715922824,LG,near_source,0,0,1,1
0.190275869220542,0.19024554827068,0.190252255783145,1.13103494409982,1.13089105937874,1.13122412870487,NOFAULT,near_load,0,0,0,0
0.729356487305498,0.597054108105137,0.622723774227389,0.409264594845982,0.405901328145993,0.429623991270036,LLL,near_load,1,1,1,0
0.17568639865875,0.203834328613594,0.509383233678557,1.07550175328827,1.14961133619561,0.52313230377448,LG,near_source,0,0,1,1
0.556783044137299,0.394118703608652,0.190153336027715,0.608432026194934,0.689576961739787,1.13097739649852,LL,near_load,1,1,0,0
0.722604634853863,0.645831144770882,0.608844013277672,0.318483316220469,0.554955145299472,0.601264657585439,LLLG,near_load,1,1,1,1
0.227921321478096,0.392642568789364,0.158577898941659,1.14363881738373,0.558451144823476,1.0841602313227,LG,near_load,0,1,0,1
0.749343530021053,0.74905804116702,0.751557950902979,0.301594719340723,0.337395982889382,0.33342578790373,LLLG,near_source,1,1,1,1
0.682555350519331,0.614576837616501,0.58144906784094,0.352410885926614,0.625898742592177,0.65783444302441,LLLG,near_load,1,1,1,1
0.588086403208888,0.435865160551487,0.190193565281939,0.612759566411203,0.673644905688191,1.13119328602356,LL,near_load,1,1,0,0
0.842381811316802,0.837659600051265,0.84909223771856,0.122028196510948,0.524531573088734,0.631438552697554,LLLG,near_source,1,1,1,1
0.228052824628285,0.387983173336256,0.158568518657863,1.14653791424494,0.561888785231149,1.08928984526715,LG,near_load,0,1,0,1
1.03661880194429,0.827141753974637,0.736932178126611,0.229616860123428,0.584840214798579,0.664311424663745,LLL,mid_line,1,1,1,0
0.362655878958359,0.163140183515076,0.226721643558021,0.604617727401952,1.08638390539107,1.14929117495624,LG,near_load,1,0,0,1
0.222406299166988,0.429623267376539,0.164918308262724,1.14598838054458,0.556990706062613,1.09191250120108,LG,near_load,0,1,0,1
0.190498237344725,0.190940464841832,0.190207847949556,1.12823976491053,1.12617775151124,1.1333063941953,NOFAULT,near_load,0,0,0,0
0.77954116573799,0.706964289696438,0.661856126710646,0.241682599140467,0.342632675970322,0.359265538122285,LLLG,mid_line,1,1,1,1
0.449111426514486,0.159395418345977,0.223392537720339,0.493601220620337,1.09010056480755,1.14156814622386,LG,near_load,1,0,0,1
0.453870755195753,0.158433849788824,0.226107702514266,0.528710318815939,1.08714834167513,1.14425771610412,LG,near_load,1,0,0,1
0.66060436999643,0.614417326038695,0.642837157294796,0.278562060820071,0.279394295391087,0.280133545243382,LLLG,mid_line,1,1,1,1
0.715667218155098,0.714099150618907,0.718529670168452,0.296233853300756,0.306549609785699,0.299791884983163,LLLG,near_source,1,1,1,1
0.190386084924154,0.190423675335601,0.190446858368552,1.13096227267794,1.13071089348595,1.13047905445335,NOFAULT,mid_line,0,0,0,0
0.209891203993176,0.595463941260952,0.16200703318242,1.12131578695783,0.30538153323693,1.10742153159474,LG,near_source,0,1,0,1
0.705393285966864,0.549707426918237,0.190464455937282,0.556756330845008,0.612779076693254,1.13083872405607,LL,near_source,1,1,0,0
